model_name,candidate_name,fold_name,feature_index,feature_name,gain,total_gain,weight,cover,total_cover,normalized_gain,importance_rank
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,37,vwap_distance_60m,34.04024124145508,272.3219299316406,8.0,10175.845703125,81406.765625,0.0034870500509712908,20
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,38,signed_body_ratio,0.0,0.0,0.0,0.0,0.0,0.0,51
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,39,absolute_body_ratio,30.573015213012695,30.573015213012695,1.0,22079.517578125,22079.517578125,0.00039148383783723756,43
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,40,upper_wick_ratio,28.076374053955078,140.38186645507812,5.0,11584.619140625,57923.09375,0.001797573169008115,25
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,41,lower_wick_ratio,0.0,0.0,0.0,0.0,0.0,0.0,52
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,42,close_location,44.51521301269531,89.03042602539062,2.0,19035.21484375,38070.4296875,0.001140024057877988,33
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,43,signed_body_mean_5m,0.0,0.0,0.0,0.0,0.0,0.0,53
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,44,upper_wick_mean_15m,42.57918167114258,596.1085205078125,14.0,15803.1181640625,221243.65625,0.007633098984510657,16
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,45,lower_wick_mean_15m,30.638486862182617,61.276973724365234,2.0,9741.705078125,19483.41015625,0.0007846443890969487,36
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,46,is_zero_volume_1m,0.0,0.0,0.0,0.0,0.0,0.0,54
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,47,log_quote_volume_zscore_60m,0.0,0.0,0.0,0.0,0.0,0.0,55
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,48,volume_ratio_5_60,38.2716064453125,38.2716064453125,1.0,5531.927734375,5531.927734375,0.0004900633865196995,41
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,49,volume_ratio_15_60,49.735782623291016,746.0367431640625,15.0,9661.83984375,144927.59375,0.009552912113724117,14
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,50,taker_buy_quote_ratio_1m,0.0,0.0,0.0,0.0,0.0,0.0,56
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,51,taker_buy_quote_ratio_5m,0.0,0.0,0.0,0.0,0.0,0.0,57
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,52,taker_buy_quote_ratio_15m,0.0,0.0,0.0,0.0,0.0,0.0,58
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,53,taker_buy_quote_ratio_60m,20.09508514404297,60.285255432128906,3.0,6724.81640625,20174.44921875,0.0007719455538530888,37
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,54,buy_pressure_change_5_60,0.0,0.0,0.0,0.0,0.0,0.0,59
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,55,buy_pressure_persistence_15m,21.002853393554688,21.002853393554688,1.0,11528.8798828125,11528.8798828125,0.0002689390495099749,44
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,56,buy_pressure_std_15m,39.81861114501953,517.6419677734375,13.0,9072.6435546875,117944.3671875,0.0066283440726288695,17
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,57,log_trade_count_zscore_60m,0.0,0.0,0.0,0.0,0.0,0.0,60
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,58,log_avg_trade_quote_size_zscore_60m,0.0,0.0,0.0,0.0,0.0,0.0,61
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,59,time_sin,72.64864349365234,4867.458984375,67.0,16176.5595703125,1083829.5,0.062327235650195933,4
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,60,time_cos,42.57445526123047,1788.1270751953125,42.0,8091.0185546875,339822.78125,0.022896755359614877,7
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,61,weekday_sin,30.39885711669922,182.3931427001953,6.0,11039.8134765625,66238.8828125,0.002335522584278045,24
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,62,weekday_cos,0.0,0.0,0.0,0.0,0.0,0.0,62
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2021,63,is_weekend,0.0,0.0,0.0,0.0,0.0,0.0,63
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,1,log_return_1m,16.565982818603516,16.565982818603516,1.0,3184.755859375,3184.755859375,0.00015568724947504495,56
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,2,log_return_3m,20.96482276916504,62.894466400146484,3.0,22324.044921875,66972.1328125,0.000591082737937119,46
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,3,log_return_5m,28.559125900268555,228.47300720214844,8.0,28110.05859375,224880.46875,0.0021471912931510058,37
xgb_fixed_v1_reference,xgb_fixed_v1_reference,fold_2022,4,log_return_10m,44.17314910888672,839.2898559570312,19.0,16023.1181640625,304439.25,0.007887653308412151,19
