fold_name,feature_index,feature_name,coefficient,absolute_coefficient,coefficient_rank,coefficient_sign
fold_2023,16,realized_volatility_30m,0.006141142384993154,0.006141142384993154,38,positive
fold_2023,17,realized_volatility_60m,-0.022022284496110055,0.022022284496110055,19,negative
fold_2023,18,realized_volatility_120m,-0.03328321473155096,0.03328321473155096,8,negative
fold_2023,19,volatility_ratio_5_60,-0.005706564148060168,0.005706564148060168,41,negative
fold_2023,20,volatility_ratio_15_120,-0.01686563257130866,0.01686563257130866,23,negative
fold_2023,21,normalized_atr_14,0.02115335099076638,0.02115335099076638,20,positive
fold_2023,22,normalized_atr_60,0.043564765364687244,0.043564765364687244,3,positive
fold_2023,23,semivariance_imbalance_60m,-0.040491732041746775,0.040491732041746775,5,negative
fold_2023,24,ema_distance_5,-0.0038691280302742223,0.0038691280302742223,48,negative
fold_2023,25,ema_distance_20,-0.017624690930693424,0.017624690930693424,21,negative
fold_2023,26,ema_distance_60,0.028873110552927395,0.028873110552927395,11,positive
fold_2023,27,ema_distance_120,-0.04734429746744148,0.04734429746744148,2,negative
fold_2023,28,ema_spread_5_20,-0.017519718474292144,0.017519718474292144,22,negative
fold_2023,29,ema_spread_20_60,0.041274524647074685,0.041274524647074685,4,positive
fold_2023,30,normalized_slope_15m,0.007415237242831424,0.007415237242831424,34,positive
fold_2023,31,normalized_slope_60m,-0.0021335393389734342,0.0021335393389734342,54,negative
fold_2023,32,range_position_30m,-0.031647584998314854,0.031647584998314854,10,negative
fold_2023,33,range_position_60m,0.0358737015533498,0.0358737015533498,7,positive
fold_2023,34,range_position_120m,-0.16530667122566325,0.16530667122566325,1,negative
fold_2023,35,support_distance_60m,0.02237897186503107,0.02237897186503107,18,positive
fold_2023,36,resistance_distance_60m,0.003254762551497898,0.003254762551497898,51,positive
fold_2023,37,vwap_distance_60m,-0.005516733074226583,0.005516733074226583,42,negative
fold_2023,38,signed_body_ratio,0.0018678462227692389,0.0018678462227692389,56,positive
