decision_month_utc,sample_count,up_count,down_or_equal_count,up_ratio,mean_return,median_return,return_std,boundary_risk_5bps_ratio,boundary_risk_10bps_ratio
202502,8064,3987,4077,0.49441964285714285,-0.00027596470403012247,-3.035979144788703e-05,0.00539589944611533,0.1355406746031746,0.2594246031746032
202503,8928,4534,4394,0.5078405017921147,-5.1614302410383775e-06,7.216984180602459e-05,0.006479128594654802,0.10741487455197132,0.21471774193548387
202504,8640,4432,4208,0.512962962962963,0.0001974942649582811,0.00010037497733683676,0.005353150745360037,0.12094907407407407,0.24328703703703702
202505,8928,4598,4330,0.5150089605734767,0.00014517123098593652,9.989373501539944e-05,0.003826310842046817,0.14572132616487454,0.2824820788530466
202506,8640,4392,4248,0.5083333333333333,4.257287759663083e-05,3.797929281756929e-05,0.0034547655493605217,0.1841435185185185,0.3476851851851852
202507,8928,4544,4384,0.5089605734767025,0.00010599964034388446,5.438438900018383e-05,0.0032607863402472196,0.17585125448028674,0.3346774193548387
202508,8928,4349,4579,0.48711917562724016,-8.541465560122617e-05,-7.413586342391865e-05,0.0034282291080362168,0.1622983870967742,0.322244623655914
202509,8640,4367,4273,0.5054398148148148,8.050578253682762e-05,2.2312222949683047e-05,0.002858818012931358,0.21331018518518519,0.403125
202510,8928,4513,4415,0.5054883512544803,-4.249365384794285e-05,4.030481212380366e-05,0.004991298532953102,0.1262320788530466,0.24955197132616488
202511,8640,4287,4353,0.49618055555555557,-0.0002812423289772236,-2.9631161430954123e-05,0.005467322819934704,0.12037037037037036,0.22395833333333334
202512,8928,4588,4340,0.5138888888888888,1.127450670466308e-07,9.431423598560418e-05,0.0047788643748504,0.16577060931899643,0.31899641577060933
202601,8928,4415,4513,0.4945116487455197,-0.0001323916412555081,-2.1247634365617607e-05,0.004180436140983295,0.17820340501792115,0.34408602150537637
202602,8064,3996,4068,0.4955357142857143,-0.0002230340952608042,-3.8014318410883874e-05,0.007184293486829865,0.09040178571428571,0.18167162698412698
202603,8928,4373,4555,0.4898073476702509,4.0476825648842234e-05,-0.00010144259209632356,0.005530553852588421,0.10181451612903226,0.20273297491039427
202604,8640,4468,4172,0.5171296296296296,0.000169126196145981,0.00010509804428482372,0.003978336973824781,0.15150462962962963,0.2934027777777778
202605,8928,4472,4456,0.5008960573476703,-4.192713337644372e-05,7.91253423360061e-06,0.00318777235833978,0.1814516129032258,0.3382616487455197
202606,8640,4040,4600,0.4675925925925926,-0.00030790288244209236,-0.00027860127616918806,0.005434907729916076,0.10844907407407407,0.21331018518518519
202607,2293,1201,1092,0.5237679895333625,0.00033317229642806885,0.00015218293890328916,0.004460863581009866,0.1282163105102486,0.25207152202354993
